종목코드,종목명,시장구분,업종,현재가,시가총액,PER,PBR,EPS,BPS,ROE프록시,W52고가,W52저가,선행PER,선행EPS,직전EPS,추정매출,추정영업이익,추정순이익,추정매출YoY,추정영업이익YoY,직전영업이익,직전순이익,직전매출,추정연도,실적연도,추정기준일,투자의견,추정이상,_price_ok,_est_ok
005930,삼성전자,KOSPI,전기·전자,309500.0,18094232.0,47.15,4.84,6564.0,63997.0,10.256730784255511,374500.0,60200.0,6.976738943728486,44361.700000000004,6605.0,7079979.0,3767778.0,2937723.0,112.2,764.1,436011.0,442610.0,3336059.0,2026.12E,2025.12,20260630,매수,True,True,True
000660,SK하이닉스,KOSPI,전기·전자,2425000.0,17283032.0,41.13,13.89,58955.0,174539.0,33.77755114902686,2987000.0,245000.0,7.678254234121845,315827.0,62044.0,3476916.0,2688234.0,2180128.0,257.90000000000003,469.5,472063.0,429193.0,971467.0,2026.12E,2025.12,20260630,매수,True,True,True
402340,SK스퀘어,KOSPI,금융,1589000.0,2096819.0,23.91,7.58,66468.0,209564.0,31.717279685442158,2189000.0,130900.0,,,,,,,,,,,,,,,,False,True,True
009150,삼성전기,KOSPI,전기·전자,1989000.0,1485658.0,218.6,15.75,9099.0,126302.0,7.204161454292094,2417000.0,132500.0,134.46912077882567,14791.5,9345.0,134052.0,14755.0,11173.0,18.5,61.6,9133.0,7061.0,113145.0,2026.12E,2025.12,20260407,매수,False,True,True
005380,현대차,KOSPI,운송장비·부품,492000.0,1007408.0,13.93,1.12,35331.0,439541.0,8.038157987537,783000.0,204500.0,13.962081031150763,35238.3,36313.1,1957921.0,113137.0,91668.0,5.1000000000000005,-1.3,114679.0,94460.0,1862545.0,2026.12E,2025.12,20260622,매수,False,True,True
373220,LG에너지솔루션,KOSPI,전기·전자,362500.0,848250.0,-79.06,4.2,-4585.0,86391.0,-5.307265803150791,527000.0,302000.0,-6700.554528650647,-54.1,-4585.0,309381.0,13640.0,-127.0,30.700000000000003,1.3,13461.0,-10728.0,236718.0,2026.12E,2025.12,20260504,매수,False,True,True
032830,삼성생명,KOSPI,보험,383000.0,766000.0,33.26,1.1,11514.0,349293.0,3.296372959091651,516500.0,117000.0,,,,,,,,,,,,,,20260223,매수,False,True,True
028260,삼성물산,KOSPI,유통,433500.0,702996.0,30.6,1.42,14165.0,305019.0,4.643972998403378,565000.0,155300.0,,,,,,,,,,,,,,,,False,True,True
207940,삼성바이오로직스,KOSPI,제약,1421000.0,657794.0,53.48,8.82,26572.0,161142.0,16.48980402378027,1987000.0,982000.0,34.57362040062578,41100.700000000004,23671.0,53002.0,24051.0,19005.0,16.3,16.3,20681.0,15862.0,45570.0,2026.12E,2025.12,20260629,매수,False,True,True
012450,한화에어로스페이스,KOSPI,운송장비·부품,1175000.0,605870.0,41.12,6.24,28573.0,188244.0,15.178704234929135,1655000.0,760000.0,29.7557244949124,39488.200000000004,28530.0,309891.0,41608.0,20316.0,16.1,34.7,30893.0,14050.0,267029.0,2026.12E,2025.12,20260504,매수,False,True,True
329180,HD현대중공업,KOSPI,운송장비·부품,577000.0,605626.0,36.75,6.48,15702.0,89025.0,17.637742207245154,765000.0,370000.0,19.45991157038451,29650.7,15702.0,243142.0,38970.0,31113.0,38.300000000000004,91.30000000000001,20375.0,14155.0,175806.0,2026.12E,2025.12,20260624,매수,True,True,True
105560,KB금융,KOSPI,금융,170100.0,603324.0,11.25,1.03,15116.0,164669.0,9.179627009333876,182700.0,105800.0,,,,297666.0,91724.0,64301.0,2.1,7.7,85177.0,58332.0,291561.0,2026.12E,2025.12,20260424,매수,False,True,True
000270,기아,KOSPI,운송장비·부품,152000.0,593428.0,7.95,0.97,19111.0,157456.0,12.13735900823087,212500.0,97400.0,7.3696255066617535,20625.2,19399.100000000002,1217389.0,95469.0,79908.0,6.7,5.2,90781.0,75610.0,1141409.0,2026.12E,2025.12,20260622,매수,False,True,True
034020,두산에너빌리티,KOSPI,기계·장비,86200.0,552164.0,653.03,7.09,132.0,12156.0,1.085883514313919,139200.0,51100.0,651.5495086923657,132.3,174.0,170579.0,7627.0,848.0,5.1000000000000005,-25.0,10176.0,1114.0,162331.0,2025.12E,2024.12,20260401,매수,False,True,True
055550,신한지주,KOSPI,금융,107300.0,509304.0,10.64,0.88,10085.0,121468.0,8.30259821516778,110800.0,61600.0,,,,298881.0,76740.0,55456.0,6.800000000000001,9.3,70234.0,49716.0,279888.0,2026.12E,2025.12,20260424,매수,False,True,True
034730,SK,KOSPI,금융,690000.0,500269.0,31.56,1.51,21863.0,457231.0,4.781609295957622,883000.0,176900.0,7.721670700959836,89358.90000000001,29000.0,1394536.0,74447.0,49080.0,13.700000000000001,309.40000000000003,18185.0,15975.0,1227033.0,2026.12E,2025.12,20260518,매수,True,True,True
012330,현대모비스,KOSPI,운송장비·부품,494000.0,448219.0,12.45,0.9,39682.0,551325.0,7.197569491679137,822000.0,279000.0,12.243512053911108,40347.9,40356.700000000004,620560.0,35266.0,36550.0,1.5,5.0,33575.0,36558.0,611181.0,2026.12E,2025.12,20260622,매수,False,True,True
068270,셀트리온,KOSPI,제약,183600.0,426969.0,43.32,2.45,4238.0,74822.0,5.664109486514661,251000.0,158500.0,25.424432935441878,7221.400000000001,4668.0,52652.0,18171.0,15750.0,26.5,55.5,11685.0,10296.0,41625.0,2026.12E,2025.12,20260507,매수,False,True,True
006400,삼성SDI,KOSPI,전기·전자,467500.0,376737.0,-56.16,1.72,-8325.0,272485.0,-3.055214048479733,723000.0,169700.0,590.1287553648068,792.2,-8796.0,157678.0,-1724.0,624.0,18.900000000000002,-90.0,-17224.0,-6495.0,132667.0,2026.12E,2025.12,20260429,매수,False,True,True
086790,하나금융지주,KOSPI,금융,125600.0,344606.0,8.9,0.76,14110.0,164776.0,8.563140263145117,136000.0,80500.0,,,,231461.0,60909.0,45146.0,3.1,13.8,53509.0,40029.0,224597.0,2026.12E,2025.12,20260426,매수,False,True,True
010120,LS ELECTRIC,KOSPI,전기·전자,229500.0,344250.0,120.09,16.49,1911.0,13920.0,13.728448275862068,907000.0,171200.0,66.70348195082252,3440.6000000000004,1929.4,65561.0,6975.0,5118.0,32.0,63.6,4264.0,2866.0,49658.0,2026.12E,2025.12,20260604,매수,False,True,True
267260,HD현대일렉트릭,KOSPI,전기·전자,945000.0,340645.0,46.5,16.77,20324.0,56366.0,36.05719760139091,1430000.0,418000.0,34.61044026677507,27303.9,20354.0,48728.0,12671.0,9827.0,19.400000000000002,27.3,9953.0,7326.0,40795.0,2026.12E,2025.12,20260429,매수,False,True,True
042660,한화오션,KOSPI,운송장비·부품,106900.0,327556.0,26.29,5.31,4066.0,20138.0,20.1906842784785,154800.0,71500.0,18.128476461809793,5896.8,4007.0,137245.0,19914.0,18066.0,7.4,70.60000000000001,11676.0,12458.0,127835.0,2026.12E,2025.12,20260624,매수,False,True,True
066570,LG전자,KOSPI,전기·전자,191000.0,311110.0,35.9,1.44,5321.0,132659.0,4.01103581362742,438000.0,72000.0,27.840130600822086,6860.6,5330.0,942591.0,35625.0,12346.0,5.7,43.7,24784.0,9606.0,892009.0,2026.12E,2025.12,20260407,매수,False,True,True
